harness=ranked  board /tmp/yukon-board/full.json  167 receipts since 2026-08-21T00:00

createdAt            receipt   solver         published  candidate     serial       F76
2026-08-22T11:58:16  e3618ddb  nijaru          3.335815   0.015266   0.037924  -13.3608
2026-08-22T11:58:26  60dbaee7  noskillcoding   3.515898   0.014774   0.037955  -14.1754
2026-08-22T11:58:48  857b943b  newjordan       3.481693   0.014903   0.038008  -13.5308

dispersion over the window, as a percent of the mean
  candidate leg  mean 0.015319  sd 1.4368 %  range 12.5002 %
  serial leg     mean 0.037991  sd 0.1228 %  range 0.5671 %

reading: the serial leg cannot respond to candidate code, so its
dispersion bounds the host-state contribution. Any candidate-leg
dispersion above that bound is code.

same-solver repeats, consecutive gaps in the candidate leg
  Amal-David     03:16:41 -0.057%  13:45:01 -0.613%  02:36:13 +1.097%  04:12:32 -1.132%
  Carme99        06:52:25 -1.025%  09:52:31 -0.030%
  Inah-choi      07:45:22 -0.044%
  Lieisyourlie   02:46:23 +1.280%  04:11:57 -0.219%  05:19:59 +0.047%  06:30:39 -0.571%  07:26:02 -0.649%  08:07:02 +0.020%  09:07:36 -0.048%  10:53:21 +1.247%  14:36:32 -1.709%  16:44:08 +0.982%  18:59:35 -1.105%  21:10:30 +0.121%  23:10:55 +2.138%  01:44:10 -2.213%  04:16:17 +1.014%  05:36:01 -0.133%  09:28:33 -4.088%  10:50:40 -0.060%  11:47:24 +0.045%
  andreolf       21:06:05 +0.858%
  audreyt        03:54:45 -0.034%  07:33:51 +0.010%  09:24:16 +0.018%  10:37:21 +0.008%  11:43:51 -0.523%  13:04:06 +0.996%  14:48:37 -0.004%  16:43:47 -0.995%  18:43:51 +0.064%  20:36:52 -0.064%  22:33:17 +0.869%  00:10:03 -0.782%  01:53:01 -0.158%  03:45:53 +1.047%  04:43:02 -1.090%
  fkiene         10:27:47 +0.951%  12:02:58 -0.549%  18:24:35 -1.026%  19:58:33 +0.717%  09:58:18 -3.021%
  francip        14:13:45 -0.495%  16:07:08 -0.050%  23:59:20 -0.114%  01:50:58 -9.215%  06:41:02 +10.241%
  hadakang       00:54:19 +0.552%  01:46:42 -0.786%  02:35:03 +0.009%  03:48:30 +0.715%  04:46:58 -0.836%  06:10:21 +0.768%  11:22:52 -1.614%  13:12:51 -0.112%  14:57:10 +1.740%
  ivanfioravanti 05:25:00 -0.128%  07:26:59 +1.208%  08:52:30 +0.031%  10:38:48 -1.525%  12:24:43 -0.540%  14:24:35 +0.847%  16:21:12 +0.213%
  jonathan308    05:40:12 -0.077%  11:40:07 +0.429%  12:58:42 -0.804%  14:28:02 -0.070%  16:36:27 +0.040%  18:25:52 +0.852%  20:48:09 -0.856%  22:55:44 -0.041%  00:33:32 +0.019%  02:42:09 -0.156%
  kaarelkaarelson 01:05:52 -1.291%  02:00:47 +1.213%  03:35:49 -4.995%  20:30:16 +1.594%  22:12:57 +1.965%
  lBroth         19:11:43 -0.072%  21:14:30 -0.007%
  morganmcg1     01:48:52 +1.224%  04:14:33 -1.206%  06:26:12 -0.368%  08:16:17 +0.946%  10:17:01 -1.041%  13:47:16 +3.141%  15:58:25 -3.258%  18:35:20 +0.081%  00:30:55 +1.129%  06:20:41 +0.301%  08:27:51 -3.645%  11:42:38 -1.093%
  nagaral        23:49:27 +0.313%  01:16:42 +0.613%  03:30:28 -1.018%  04:30:19 +0.161%  05:34:21 -0.003%  06:18:01 -0.014%  07:02:33 +1.061%  09:32:34 -0.057%  10:17:47 -3.340%  11:50:37 -0.036%
  newjordan      03:50:52 -1.667%  05:00:51 +0.231%  07:44:24 +0.436%  09:44:09 -0.581%  11:25:37 -0.442%  12:30:57 +0.966%  14:10:40 -1.124%  15:51:31 +0.107%  17:25:17 +1.066%  19:37:43 -1.041%  21:30:31 +0.956%  23:28:21 -1.115%  05:01:51 +0.730%  07:37:10 -0.674%  09:36:25 -3.260%  11:02:45 +0.021%  11:58:48 +0.895%
  nijaru         20:36:50 +0.323%  23:14:14 +0.034%  00:57:23 -0.995%  02:31:48 +0.139%  11:58:16 -0.174%
  noskillcoding  10:04:03 -3.248%  11:58:26 +0.038%
  ofou           17:50:41 +0.412%  19:42:58 -0.233%
  scarletbright  17:20:27 -1.977%  03:59:48 +0.175%  05:35:45 -0.310%  06:33:58 +1.033%
  vibecodooor    01:54:24 +0.066%  07:12:05 -0.183%  08:32:20 +0.015%  11:41:47 -0.386%  11:35:54 -2.554%

a gap near the serial-leg bound is a repeat of the same tree; a large
gap is a code change. Repeats measure the host, not the solver.
